,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
893,PC - 2,Antoine Hester,Level 8,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,15,0.00,8.00,57.00,0.00,15.00,0.00%,168,164,0.00,0.00,4.00,0.00,180.00,0.00%,184,158,8.00,24.00,2.00,0.00,150.00,5.06%,168,144,256.00,24.00,0.00,0.00,-112.00,177.78%,176,134,144.00,24.00,18.00,0.00,0.00,107.46%,176,175.5,176.00,0.00,0.50,0.00,0.00,100.28%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,160,168.00,24.00,0.00,0.00,0.00,105.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"1,640",1398.5,"1,200.00",160.00,81.50,0.00,233.00,85.81%
894,PC - 2,Priscilla Mack,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,0,0.00,0.00,80.00,0.00,0.00,-,168,148,0.00,8.00,12.00,0.00,148.00,0.00%,184,161.5,0.00,16.00,6.50,0.00,164.00,0.00%,168,152,0.00,16.00,0.00,0.00,152.00,0.00%,176,124,172.00,48.00,4.00,0.00,40.00,138.71%,176,176,244.00,0.00,0.00,0.00,0.00,138.64%,168,96,184.00,48.00,24.00,0.00,0.00,191.67%,184,136,80.00,32.00,16.00,0.00,56.00,58.82%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,144,304.00,32.00,0.00,0.00,-160.00,211.11%,"1,640",1297.5,984.00,200.00,142.50,0.00,560.00,75.84%
895,PC - 1,Logan Williams,Level 8,Location 6,Client Service Staff,Resigned,-,30-06-2017,Resigned,31-07-2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,80,0.00,0.00,0.00,0.00,0.00,0.00%,72,72,0.00,0.00,0.00,0.00,0.00,0.00%,0,0,0.00,0.00,0.00,0.00,40.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,152,0.00,0.00,0.00,0.00,40.00,0.00%
896,PC - 1,Ryleigh Ortiz,Level 8,Location 3,Client Service Staff,Confirmed Staff,Maria Aubrey,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,57,0.00,8.00,15.00,0.00,57.00,0.00%,168,126,72.00,8.00,34.00,0.00,63.00,57.14%,184,168,152.00,16.00,0.00,0.00,45.50,90.48%,168,160,162.00,8.00,0.00,0.00,0.00,101.25%,176,144,160.00,32.00,0.00,0.00,0.00,111.11%,176,144,144.00,8.00,24.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,164,164.00,20.00,0.00,0.00,0.00,100.00%,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"1,640",1395,"1,286.00",172.00,73.00,0.00,165.50,92.19%
897,PC - 1,Audrina Arroyo,Level 8,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,58,0.00,8.00,14.00,0.00,58.00,0.00%,168,151,72.00,0.00,17.00,0.00,71.00,47.68%,184,160,144.00,24.00,0.00,0.00,45.50,90.00%,168,160,162.00,8.00,0.00,0.00,0.00,101.25%,176,136,56.00,40.00,0.00,0.00,48.00,41.18%,176,176,192.00,0.00,0.00,0.00,0.00,109.09%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"1,640",1449,"1,234.00",160.00,31.00,0.00,222.50,85.16%
898,PC - 3,Javier Crosby,Level 8,Location 1,Client Service Staff,Confirmed Staff,Refugia Morganti,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,25,0.00,8.00,47.00,0.00,25.00,0.00%,168,158,40.00,0.00,10.00,0.00,112.00,25.32%,184,159,184.00,24.00,1.00,0.00,0.00,115.72%,168,160,184.00,8.00,0.00,0.00,0.00,115.00%,176,152,164.00,24.00,0.00,0.00,0.00,107.89%,176,168,196.00,8.00,0.00,0.00,0.00,116.67%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"1,640",1438,"1,384.00",144.00,58.00,0.00,137.00,96.24%
899,PC - 1,Alexandria Livingston,Level 8,Location 3,Client Service Staff,Serving Notice Period,Conni Athene,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,57,0.00,8.00,15.00,0.00,57.00,0.00%,168,158,126.00,0.00,10.00,0.00,32.00,79.75%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,176,168,192.00,8.00,0.00,0.00,0.00,114.29%,168,112,104.00,56.00,0.00,0.00,8.00,92.86%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,160,150,152.00,8.00,2.00,0.00,0.00,101.33%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,"1,640",1405,"1,334.00",208.00,27.00,0.00,97.00,94.95%
900,PC - 1,Remington Lara,Level 8,Location 3,Client Service Staff,Resigned,Claudia Meaghan,30-06-2017,Resigned,31-12-2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,57,0.00,8.00,15.00,0.00,57.00,0.00%,168,152,112.00,0.00,16.00,0.00,32.00,73.68%,184,168,152.00,16.00,0.00,0.00,40.00,90.48%,168,152,154.00,16.00,0.00,0.00,0.00,101.32%,176,150,156.00,24.00,2.00,0.00,0.00,104.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,128,120,112.00,8.00,0.00,0.00,16.00,93.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,080",967,854.00,80.00,33.00,0.00,145.00,88.31%
901,PC - 1,Sonia Pham,Level 8,Location 3,Client Service Staff,Confirmed Staff,Claudia Meaghan,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,57,0.00,8.00,15.00,0.00,57.00,0.00%,168,160,120.00,0.00,8.00,0.00,32.00,75.00%,184,176,184.00,8.00,0.00,0.00,0.00,104.55%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,176,168,196.00,8.00,0.00,0.00,0.00,116.67%,168,128,120.00,40.00,0.00,0.00,8.00,93.75%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,"1,640",1433,"1,364.00",184.00,23.00,0.00,97.00,95.18%
902,PC - 1,Marquis Thornton,Level 8,Location 3,Client Service Staff,Confirmed Staff,Maria Aubrey,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,58,0.00,8.00,14.00,0.00,58.00,0.00%,168,144,72.00,0.00,24.00,0.00,78.00,50.00%,184,160,144.00,24.00,0.00,0.00,45.50,90.00%,168,160,162.00,8.00,0.00,0.00,0.00,101.25%,176,158,139.00,16.00,2.00,0.00,19.00,87.97%,176,168,152.00,8.00,0.00,0.00,16.00,90.48%,168,124,116.00,44.00,0.00,0.00,8.00,93.55%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,127,128.00,32.00,1.00,0.00,0.00,100.79%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"1,640",1419,"1,233.00",180.00,41.00,0.00,224.50,86.89%
903,PC - 1,Giancarlo Flowers,Level 8,Location 3,Client Service Staff,Confirmed Staff,Erminie Ericka,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,59,0.00,8.00,13.00,0.00,59.00,0.00%,168,152,72.00,0.00,16.00,0.00,72.00,47.37%,184,176,175.00,8.00,0.00,0.00,45.50,99.43%,168,160,162.00,8.00,0.00,0.00,0.00,101.25%,176,132,136.00,40.00,4.00,0.00,0.00,103.03%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,144,80.00,16.00,0.00,0.00,64.00,55.56%,176,152,216.00,24.00,0.00,0.00,-64.00,142.11%,"1,640",1431,"1,297.00",176.00,33.00,0.00,176.50,90.64%
904,PC - 1,Pedro Simon,Level 8,Location 3,Client Service Staff,Resigned,Margo Opaline,30-06-2017,Resigned,31-12-2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,58,0.00,8.00,14.00,0.00,58.00,0.00%,168,144,100.00,0.00,24.00,0.00,52.00,69.44%,184,168,192.00,16.00,0.00,0.00,-24.00,114.29%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,128,112,72.00,16.00,0.00,0.00,80.00,64.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,080",962,844.00,80.00,38.00,0.00,166.00,87.73%
905,PC - 2,Kael Downs,Level 8,Location 7,Client Service Staff,Confirmed Staff,Chris Ricky,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,19,0.00,8.00,53.00,0.00,19.00,0.00%,168,152,0.00,0.00,16.00,0.00,161.00,0.00%,184,167,231.00,16.00,1.00,0.00,-64.00,138.32%,168,160,160.00,8.00,0.00,0.00,19.00,100.00%,176,134,144.00,24.00,18.00,0.00,0.00,107.46%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,95.5,96.00,56.00,16.50,0.00,0.00,100.52%,184,167,168.00,16.00,1.00,0.00,0.00,100.60%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,152,316.00,24.00,0.00,0.00,0.00,207.89%,"1,640",1374.5,"1,443.00",160.00,105.50,0.00,135.00,104.98%
906,PC - 2,Javon Baker,Level 8,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,23,0.00,8.00,49.00,0.00,23.00,0.00%,168,152,0.00,0.00,16.00,0.00,153.00,0.00%,184,159,199.00,24.00,1.00,0.00,-32.00,125.16%,168,152,72.00,16.00,0.00,0.00,80.00,47.37%,176,128,212.00,24.00,24.00,0.00,-32.00,165.63%,176,135,84.00,32.00,9.00,0.00,96.00,62.22%,168,128,208.00,40.00,0.00,0.00,-72.00,162.50%,184,168,144.00,16.00,0.00,0.00,32.00,85.71%,160,144,80.00,16.00,0.00,0.00,64.00,55.56%,176,152,224.00,24.00,0.00,0.00,8.00,147.37%,"1,640",1341,"1,223.00",200.00,99.00,0.00,320.00,91.20%
907,PC - 2,Killian Floyd,Level 8,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,19,0.00,8.00,53.00,0.00,19.00,0.00%,168,154,0.00,0.00,14.00,0.00,170.00,0.00%,184,160,192.00,24.00,0.00,0.00,-32.00,120.00%,168,160,160.00,8.00,0.00,0.00,4.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,160,80.00,0.00,16.00,0.00,80.00,50.00%,168,128,208.00,40.00,0.00,0.00,-75.00,162.50%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,128,128.00,48.00,0.00,0.00,0.00,100.00%,"1,640",1389,"1,248.00",168.00,83.00,0.00,166.00,89.85%
908,PC - 1,Ashton Nunez,Level 8,Location 3,Client Service Staff,Confirmed Staff,Lian Harley,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,58,0.00,8.00,14.00,0.00,58.00,0.00%,168,157,0.00,0.00,11.00,0.00,149.00,0.00%,184,175,0.00,8.00,1.00,0.00,183.00,0.00%,168,160,0.00,8.00,0.00,0.00,160.00,0.00%,176,174,0.00,0.00,2.00,0.00,174.00,0.00%,176,176,136.00,0.00,0.00,0.00,64.00,77.27%,168,160,24.00,8.00,0.00,0.00,150.00,15.00%,184,160,348.00,24.00,0.00,0.00,-66.50,217.50%,160,160,196.00,0.00,0.00,0.00,0.00,122.50%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"1,640",1532,856.00,80.00,28.00,0.00,871.50,55.87%
909,PC - 2,Darius Mejia,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,19,0.00,8.00,53.00,0.00,19.00,0.00%,168,155,16.00,0.00,13.00,0.00,157.00,10.32%,184,161,249.00,24.00,-1.00,0.00,-87.00,154.66%,168,168,183.00,0.00,0.00,0.00,-9.00,108.93%,176,135,144.00,32.00,9.00,0.00,0.00,106.67%,176,136,116.00,24.00,16.00,0.00,20.00,85.29%,168,168,188.00,0.00,0.00,0.00,56.00,111.90%,184,96,96.00,88.00,0.00,0.00,0.00,100.00%,160,160,136.00,0.00,0.00,0.00,24.00,85.00%,176,144,168.00,32.00,0.00,0.00,-19.00,116.67%,"1,640",1342,"1,296.00",208.00,90.00,0.00,161.00,96.57%
910,PC - 2,Eve Meza,Level 8,Location 7,Client Service Staff,Confirmed Staff,Mira Fiorenze,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,18,0.00,8.00,54.00,0.00,18.00,0.00%,168,148,0.00,0.00,20.00,0.00,161.00,0.00%,184,163,0.00,16.00,5.00,0.00,163.00,0.00%,168,156,0.00,8.00,4.00,0.00,156.00,0.00%,176,160,35.00,16.00,0.00,0.00,125.00,21.88%,176,175.5,48.00,0.00,0.50,0.00,127.50,27.35%,168,104,72.00,40.00,24.00,0.00,40.00,69.23%,184,168,168.00,16.00,0.00,0.00,8.00,100.00%,160,160,168.00,0.00,0.00,0.00,0.00,105.00%,176,160,176.00,16.00,0.00,0.00,0.00,110.00%,"1,640",1412.5,667.00,120.00,107.50,0.00,798.50,47.22%
911,PC - 2,Bronson Harding,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,19,0.00,8.00,53.00,0.00,19.00,0.00%,168,164,0.00,0.00,4.00,0.00,172.00,0.00%,184,159,164.00,24.00,1.00,0.00,4.00,103.14%,168,160,184.00,8.00,0.00,0.00,-19.00,115.00%,176,152,178.00,22.00,2.00,0.00,48.00,117.11%,176,160,225.00,0.00,16.00,0.00,-30.00,140.63%,168,103,266.00,64.00,1.00,0.00,0.00,258.25%,184,149,184.00,16.00,19.00,0.00,0.00,123.49%,160,152,296.00,8.00,0.00,0.00,0.00,194.74%,176,128,128.00,48.00,0.00,0.00,5.00,100.00%,"1,640",1346,"1,625.00",198.00,96.00,0.00,199.00,120.73%
912,PC - 2,Jamison Hester,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,8,0.00,8.00,64.00,0.00,8.00,0.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,168,144,88.00,24.00,0.00,0.00,56.00,61.11%,176,132,196.00,24.00,20.00,0.00,5.50,148.48%,176,148,124.00,0.00,28.00,0.00,40.00,83.78%,168,119,164.00,40.00,9.00,0.00,41.00,137.82%,184,160,160.00,16.00,8.00,0.00,0.00,100.00%,160,160,136.00,0.00,0.00,0.00,24.00,85.00%,176,168,200.00,8.00,0.00,0.00,-24.00,119.05%,"1,640",1367,"1,396.00",144.00,129.00,0.00,150.50,102.12%
913,PC - 2,Yusuf Duarte,Level 8,Location 7,Client Service Staff,Confirmed Staff,Cosette Lavena,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,16,0.00,8.00,56.00,0.00,16.00,0.00%,168,145,0.00,0.00,23.00,0.00,145.00,0.00%,184,160,28.00,24.00,0.00,0.00,140.00,17.50%,168,156,226.00,12.00,0.00,0.00,-42.00,144.87%,176,136,172.00,32.00,8.00,0.00,-28.00,126.47%,176,152,161.00,0.00,24.00,0.00,44.00,105.92%,168,120,88.00,48.00,0.00,0.00,40.00,73.33%,184,152,232.00,16.00,16.00,0.00,-32.00,152.63%,160,152,184.00,8.00,0.00,0.00,-32.00,121.05%,176,152,326.00,24.00,0.00,0.00,0.00,214.47%,"1,640",1341,"1,417.00",172.00,127.00,0.00,251.00,105.67%
914,PC - 2,Declan Rojas,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,16,0.00,8.00,56.00,0.00,16.00,0.00%,168,152,12.00,0.00,16.00,0.00,140.00,7.89%,184,184,90.00,0.00,0.00,0.00,70.00,48.91%,168,-78,0.00,246.00,0.00,0.00,-46.00,0.00%,176,160,0.00,0.00,16.00,0.00,168.00,0.00%,176,136,152.00,24.00,16.00,0.00,-16.00,111.76%,168,136,160.00,32.00,0.00,0.00,-24.00,117.65%,184,72,40.00,112.00,0.00,0.00,32.00,55.56%,160,152,206.00,0.00,8.00,0.00,-50.00,135.53%,176,168,284.00,8.00,0.00,0.00,-80.00,169.05%,"1,640",1098,944.00,430.00,112.00,0.00,210.00,85.97%
915,PC - 2,Carleigh Osborn,Level 8,Location 7,Client Service Staff,Serving Notice Period,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,14,0.00,8.00,58.00,0.00,14.00,0.00%,168,155.5,0.00,0.00,12.50,0.00,153.50,0.00%,184,176,176.00,8.00,0.00,0.00,8.00,100.00%,168,120,80.00,48.00,0.00,0.00,40.00,66.67%,176,118,88.00,56.00,2.00,0.00,30.00,74.58%,176,160,72.00,0.00,16.00,0.00,88.00,45.00%,168,128,216.00,40.00,0.00,0.00,-88.00,168.75%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,160,160,168.00,0.00,0.00,0.00,0.00,105.00%,176,152,120.00,24.00,0.00,0.00,32.00,78.95%,"1,640",1335.5,"1,072.00",216.00,88.50,0.00,277.50,80.27%
916,PC - 2,Bryce Burch,Level 8,Location 7,Client Service Staff,Confirmed Staff,Josi Ula,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,16,0.00,8.00,56.00,0.00,16.00,0.00%,168,160,132.00,0.00,8.00,0.00,20.00,82.50%,184,152,104.00,32.00,0.00,0.00,56.00,68.42%,168,160,88.00,8.00,0.00,0.00,96.00,55.00%,176,136,216.00,24.00,16.00,0.00,-56.00,158.82%,176,176,40.00,0.00,0.00,0.00,136.00,22.73%,168,128,272.00,40.00,0.00,0.00,13.50,212.50%,184,152,168.00,16.00,16.00,0.00,0.00,110.53%,160,152,32.00,8.00,0.00,0.00,120.00,21.05%,176,152,216.00,24.00,0.00,0.00,48.00,142.11%,"1,640",1384,"1,268.00",160.00,96.00,0.00,449.50,91.62%
917,PC - 2,Alyvia Carroll,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,16,16.00,8.00,56.00,0.00,0.00,100.00%,168,154,72.00,0.00,14.00,0.00,74.00,46.75%,184,184,192.00,0.00,0.00,0.00,0.00,104.35%,168,144,144.00,24.00,0.00,0.00,5.00,100.00%,176,110,128.00,40.00,26.00,0.00,5.00,116.36%,176,168,168.00,0.00,8.00,0.00,0.00,100.00%,168,168,128.00,0.00,0.00,0.00,45.00,76.19%,184,120,160.00,56.00,8.00,0.00,-40.00,133.33%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"1,640",1392,"1,336.00",136.00,112.00,0.00,89.00,95.98%
918,PC - 2,Cory Flowers,Level 8,Location 7,Client Service Staff,Confirmed Staff,Rosabella Arlina,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,23,0.00,8.00,49.00,0.00,32.00,0.00%,168,168,80.00,0.00,0.00,0.00,80.00,47.62%,184,152,0.00,32.00,0.00,0.00,160.00,0.00%,168,168,12.00,0.00,0.00,0.00,159.00,7.14%,176,168,128.00,8.00,0.00,0.00,65.00,76.19%,176,174,176.00,0.00,2.00,0.00,0.00,101.15%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,151,151.00,8.00,1.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"1,640",1460,"1,003.00",128.00,52.00,0.00,496.00,68.70%
919,PC - 3,Rayna Armstrong,Level 8,Location 1,Client Service Staff,Resigned,Gert Editha,30-06-2017,Resigned,30-04-2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,23,0.00,8.00,49.00,0.00,23.00,0.00%,168,160,80.00,0.00,8.00,0.00,72.00,50.00%,184,168,152.00,16.00,0.00,0.00,24.00,90.48%,168,160,104.00,8.00,0.00,0.00,56.00,65.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,128,440.00,40.00,0.00,0.00,-112.00,343.75%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"1,640",1463,"1,256.00",120.00,57.00,0.00,407.00,85.85%
920,PC - 1,Deanna Gentry,Level 7,Location 3,Client Service Staff,Resigned,Agnes Stacie,30-06-2017,Resigned,30-11-2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,8,8.00,0.00,24.00,0.00,0.00,100.00%,168,135,127.00,8.00,25.00,0.00,0.00,94.07%,184,165,144.00,16.00,3.00,0.00,32.00,87.27%,168,136,128.00,32.00,0.00,0.00,8.00,94.12%,176,152,102.00,24.00,0.00,0.00,50.00,67.11%,24,24,0.00,0.00,0.00,0.00,24.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,752,620,509.00,80.00,52.00,0.00,114.00,82.10%
921,PC - 1,Melina Benson,Level 7,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,17.5,0.00,0.00,14.50,0.00,17.50,0.00%,168,140,64.00,0.00,28.00,0.00,76.00,45.71%,184,168,152.00,16.00,0.00,0.00,40.00,90.48%,168,160,162.00,8.00,0.00,0.00,0.00,101.25%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,132,140.00,32.00,12.00,0.00,0.00,106.06%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,144.00,16.00,0.00,0.00,24.00,85.71%,160,160,184.00,0.00,0.00,0.00,-24.00,115.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"1,592",1385.5,"1,286.00",152.00,54.50,0.00,133.50,92.82%
922,PC - 2,Zachery Santana,Level 8,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,0.00,0.00,0.00,0.00,0.00,0.00%,168,99,0.00,0.00,69.00,0.00,144.00,0.00%,184,163,0.00,16.00,5.00,0.00,163.00,0.00%,168,148,0.00,16.00,4.00,0.00,148.00,0.00%,176,160,76.00,16.00,0.00,0.00,84.00,47.50%,176,175.5,0.00,0.00,0.50,0.00,175.50,0.00%,168,104,16.00,40.00,24.00,40.00,56.00,15.38%,184,168,176.00,16.00,0.00,0.00,-5.00,104.76%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"1,592",1369.5,588.00,120.00,102.50,40.00,765.50,42.94%
923,PC - 3,Britney Castro,Level 7,Location 1,Client Service Staff,Confirmed Staff,Kristina Alleen,30-06-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,0.00,0.00,0.00,0.00,0.00,0.00%,168,152,48.00,0.00,16.00,0.00,136.00,31.58%,184,155,92.00,16.00,13.00,0.00,63.00,59.35%,168,152,100.00,8.00,8.00,0.00,52.00,65.79%,176,152,96.00,24.00,0.00,0.00,56.00,63.16%,176,168,126.00,8.00,0.00,0.00,42.00,75.00%,168,128,88.00,40.00,0.00,0.00,40.00,68.75%,184,159,122.00,24.00,1.00,0.00,45.00,76.73%,160,160,184.00,0.00,0.00,0.00,-24.00,115.00%,176,175,56.00,0.00,1.00,0.00,119.00,32.00%,"1,592",1433,912.00,120.00,39.00,0.00,529.00,63.64%
924,PC - 3,Brandon Jenkins,Level 8,Location 1,Client Service Staff,Confirmed Staff,Morgen Hailee,31-07-2017,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,160,0.00,0.00,8.00,0.00,152.00,0.00%,184,184,152.00,0.00,0.00,0.00,40.00,82.61%,168,168,88.00,0.00,0.00,0.00,80.00,52.38%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,128,72.00,40.00,0.00,0.00,56.00,56.25%,184,176,152.00,8.00,0.00,0.00,0.00,86.36%,160,160,184.00,0.00,0.00,0.00,0.00,115.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"1,560",1504,824.00,48.00,8.00,0.00,680.00,54.79%
